minecraft:area_effect_cloud 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:2,8:1,9:7,10:15
minecraft:turtle 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:9,16:7,17:7,18:9,19:7,20:7
minecraft:vex 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:0
minecraft:villager 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:16
minecraft:vindicator 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7
minecraft:witch 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:7
minecraft:wither 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:1,15:1,16:1,17:1
minecraft:wither_skeleton 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0
minecraft:wolf 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12,17:2,18:7,19:1
minecraft:zombie 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1,16:7
minecraft:zombie_horse 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:0,16:12
minecraft:zombie_pigman 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1,16:7
minecraft:zombie_villager 0:0,1:1,2:5,3:7,4:7,5:7,6:18,7:0,8:2,9:1,10:7,11:1,12:10,13:0,14:7,15:1,16:7,17:7,18:16
