minecraft:area_effect_cloud 0:0,1:1,2:5,3:7,4:7,5:7,6:2,7:1,8:7,9:15
minecraft:endermite 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0
minecraft:evoker 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0,13:0
minecraft:evoker_fangs 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:experience_bottle 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:eye_of_ender 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:falling_block 0:0,1:1,2:5,3:7,4:7,5:7,6:9
minecraft:firework_rocket 0:0,1:1,2:5,3:7,4:7,5:7,6:6,7:1
minecraft:ghast 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:giant 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0
minecraft:guardian 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1
minecraft:horse 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:1,16:1
minecraft:husk 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1,14:7,15:7
minecraft:illusioner 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0,13:0
minecraft:iron_golem 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:item 0:0,1:1,2:5,3:7,4:7,5:7,6:6
minecraft:item_frame 0:0,1:1,2:5,3:7,4:7,5:7,6:6,7:1
minecraft:leash_knot 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:llama 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:7,16:1,17:1,18:1
minecraft:llama_spit 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:magma_cube 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:1
minecraft:minecart 0:0,1:1,2:5,3:7,4:7,5:7,6:1,7:1,8:2,9:1,10:1,11:7,12:3,13:4,12:7
minecraft:mooshroom 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:mule 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:7
minecraft:ocelot 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:1
minecraft:parrot 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:1
minecraft:phantom 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:1
minecraft:pig 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:7,14:1
minecraft:player 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:2,12:1,13:0,14:0,15:14,16:14
minecraft:polar_bear 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:7
minecraft:pufferfish 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1
minecraft:rabbit 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1
minecraft:salmon 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:sheep 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0
minecraft:shulker 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:11,13:10,14:0,15:0
minecraft:shulker_bullet 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:silverfish 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0
minecraft:skeleton 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:skeleton_horse 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12
minecraft:slime 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:1
minecraft:snow_golem 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:snowball 0:0,1:1,2:5,3:7,4:7,5:7
minecraft:spectral_arrow 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:12
minecraft:spider 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:squid 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0
minecraft:stray 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:tnt 0:0,1:1,2:5,3:7,4:7,5:7,6:1
minecraft:trident 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:12,8:0
minecraft:tropical_fish 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1
minecraft:turtle 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:9,14:7,15:7,16:9,17:7,18:7
minecraft:vex 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:villager 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1
minecraft:vindicator 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:0
minecraft:witch 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:wither 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:1,13:1,14:1,15:1
minecraft:wither_skeleton 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7
minecraft:wolf 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12,15:2,16:7,17:1
minecraft:zombie 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1,14:7,15:7
minecraft:zombie_horse 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:0,14:12
minecraft:zombie_pigman 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1,14:7,15:7
minecraft:zombie_villager 0:0,1:1,2:5,3:7,4:7,5:7,6:0,7:2,8:1,9:7,10:1,11:0,12:7,13:1,14:7,15:7,16:7,17:1
